speaker,speaker's job title,state,party,true counts,mostly true counts,half true counts,mostly false counts,false counts,pants on fire counts,count
Ann Mclane Kuster,US Representative,New Hampshire,Democrat,2,0,3,2,1,0,8
Angel Taveras,Former Mayor,Rhode Island,Democrat,0,2,2,2,1,0,8
Americans For Tax Reform,Advocacy Group,"Washington, D.C.",None,0,1,1,5,0,1,8
Wisconsin Manufacturers And Commerce,Business Group,Wisconsin,Organization,0,2,2,3,0,0,7
Tulsi Gabbard,Former US Representative,Hawaii,Democrat,1,2,0,3,1,0,7
Thomas Perez,Former United States Secretary of Labor,Maryland,Democrat,1,1,3,2,0,0,7
Thelastlineofdefense.Org,Fake News Website,None,None,0,0,0,0,0,7,7
Tennessee Democratic Party,Party Affiliation,Tennessee,Democrat,2,2,1,1,1,0,7
Ted Budd,US Representative,North Carolina,Republican,1,0,3,1,2,0,7
Suzanne Bonamici,US Representative,Oregon,Democrat,3,0,0,0,3,1,7
Steve Lonegan,Former Mayor,New Jersey,Republican,2,0,2,1,2,0,7
Stephanie Cutter,Former Advisor to the US President,Massachusetts,Democrat,2,1,0,1,1,0,7
Sharron Angle,Former State Assembly,Nevada,Republican,1,0,1,3,1,0,7
Richard Cordray,Former Director of the Consumer Financial Protection Bureau,Ohio,Democrat,1,2,2,2,0,0,7
Puppetstringnews.Com,Fake News Website,None,None,0,0,0,2,1,4,7
Planned Parenthood,Nonprofit Organization,None,None,4,0,1,1,0,1,7
Paul Sadler,Former State Representative,Texas,Democrat,2,2,1,1,0,1,7
Mike Tate,Party Affiliation Chairman,Wisconsin,Democrat,0,1,2,1,2,0,7
Mike Parson,Governor,Missouri,Republican,2,2,0,1,2,0,7
Mike Haridopolos,Former President of State Senate,Florida,Republican,1,1,1,0,3,0,7
Mark Harris,US Representative Candidate,North Carolina,Republican,0,0,1,1,3,0,5
Mahlon Mitchell,Firefighter,Wisconsin,Democrat,2,1,0,4,0,0,7
Luis Gutierrez,Former US Representative,Illinois,Democrat,0,3,3,0,0,0,7
Lori Lightfoot,Mayor,Illinois,Democrat,0,1,1,4,1,0,7
Leonard Lance,Former US Representative,New Jersey,Republican,3,2,2,0,0,0,7
Lenny Curry,Mayor,Florida,Republican,1,0,2,2,1,0,7
Lamar Alexander,Former US Senator,Tennessee,Republican,2,0,2,1,2,0,7
Kayleigh Mcenany,Former White House Press Secretary,"Washington, D.C.",Republican,0,2,1,1,2,1,7
Juan Williams,Journalist,None,None,1,1,3,2,0,0,7
Jim Kenney,Mayor,Pennsylvania,Democrat,2,1,1,1,1,0,7
Jay Carney,Former White House Press Secretary,District of Columbia,None,0,2,1,2,2,0,7
Jack Reed,US Senator,Rhode Island,Democrat,3,1,2,1,0,0,7
Farouk Shami,Businessman,Texas,Democrat,1,0,2,1,2,1,7
Edward Flynn,Former Police Chief,Wisconsin,None,1,2,3,1,0,0,7
Duncan Hunter,Former US Representative,California,Republican,0,0,0,0,0,2,7
Donna Campbell,State Senator,Texas,Republican,1,2,1,1,1,1,7
Democratic Party Of Virginia,Party Affiliation,Virginia,Democrat,0,3,1,2,1,0,7
Dave Aronberg,State Attorney,Florida,Democrat,3,0,1,1,0,0,7
Dan Sullivan,US Senator,Alaska,Republican,0,0,1,2,2,0,7
Chris Kapenga,State Senator,Wisconsin,Republican,2,1,1,0,3,0,7
Charlie Kirk,Activist,None,Republican,0,1,0,2,3,1,7
Casey Cagle,Former Lieutenant Governor of Georgia,Georgia,Republican,2,2,1,1,1,0,7
Caleb Rowden,State Senator,Missouri,Republican,1,2,2,1,1,0,7
Brad Schimel,Former State Attorney General,Wisconsin,Republican,1,0,2,1,2,1,7
Bob Corker,Former US Senator,Tennessee,Republican,2,3,0,1,0,0,7
Bill Foster,US Representative,Florida,Republican,1,2,2,1,0,0,7
Bill De Blasio,Mayor,New York,Democrat,1,1,2,2,0,0,7
Andrew Yang,Entrepreneur,None,Democrat,1,3,1,0,1,1,7
American Future Fund,Conservative Organization,None,Organization,0,0,0,3,2,0,7
Ward Armstrong,Former Delegate,Virginia,Democrat,2,0,0,0,3,1,6
Votevets.Org,Advocacy Group,None,None,2,0,2,1,1,0,6
Veronica Escobar,US Representative,Texas,Democrat,1,2,3,0,0,0,6
Van Jones,Political Commentator,"Washington, D.C.",Democrat,1,2,2,0,1,0,6
Tom Cole,US Representative,Oklahoma,Republican,2,2,0,1,0,0,6
Tim Moore,Speaker of the State Representatives,North Carolina,Republican,0,1,2,3,0,0,6
The Other 98%,Activist Organization,None,Democrat,0,1,0,4,1,0,6
Tammy Duckworth,US Senator,Illinois,Democrat,1,1,0,2,1,0,6
Steve Stockman,Former US Representative,Texas,Republican,0,0,0,1,3,1,6
Steve Rothman,Former US Representative,New Jersey,Democrat,1,1,0,1,2,1,6
Steve Latourette,Former US Representative,Ohio,Republican,1,1,3,0,0,0,6
Social Media,Social Media,None,None,0,1,0,1,2,2,6
Silvestre Reyes,Former US Representative,Texas,Democrat,1,1,2,0,0,1,6
Sheila Oliver,Lieutenant Governor,New Jersey,Democrat,1,3,1,0,1,0,6
Sarah Huckabee Sanders,Former White House Press Secretary,"Washington, D.C.",Republican,0,1,0,0,4,1,6
Sacramento Bee Editorial Board,Newspaper Editorial Board,California,None,3,1,1,1,0,0,6
Richard Saslaw,State Senator,Virginia,Democrat,0,0,0,2,3,1,6
Republican Party Of Virginia,Party Affiliation,Virginia,Republican,1,0,0,2,0,1,6
Progress Texas,Nonprofit Media Organization,Texas,None,0,0,1,3,0,2,6
Phil Scott,Governor,Vermont,Republican,1,0,2,1,2,0,6
Phil Berger,State Senator,North Carolina,Republican,1,0,1,3,1,0,6
Peter Palumbo,Former State Representative,Rhode Island,Democrat,1,0,1,3,1,0,6
Peter Defazio,US Representative,Oregon,Democrat,1,2,1,1,1,0,6
Nicholas Mattiello,Former State Representative,Rhode Island,Democrat,1,0,0,0,3,0,6
Nextgen Climate Action Committee,Nonprofit Political Action Committee,None,Democrat,1,0,3,0,1,1,6
New Jersey Democratic State Committee,Party Affiliation,New Jersey,Democrat,0,0,1,2,2,0,6
National Right To Life Committee,Advocacy Group,None,None,2,0,1,1,2,0,6
Mike Villarreal,Former State Representative,Texas,Democrat,2,2,1,1,0,0,6
Mike Martinez,Former City Council Member,Texas,Democrat,2,1,1,1,0,1,6
Mike Gallagher,US Representative,Wisconsin,Republican,3,1,0,0,2,0,6
Michael Sullivan,Advocacy Group CEO,Texas,Republican,1,1,3,1,0,0,6
Michael Bennet,US Senator,Colorado,Democrat,3,1,1,0,0,0,6
Mark Obenshain,State Senator,Virginia,Republican,1,2,1,1,0,0,6
Mark Kelly,US Senator,Arizona,Democrat,2,1,2,0,0,0,6
Larry Elder,Radio Show Host,None,Talk show host,0,0,0,2,3,0,6
Kevin Nicholson,Businessman,Wisconsin,Republican,1,1,1,1,2,0,6
Kevin Brady,US Representative,Texas,Republican,1,1,2,2,0,0,6
Katrina Vanden Heuvel,Editor,None,None,2,0,1,0,2,0,6
Jorge Elorza,Mayor,Rhode Island,Democrat,1,2,0,1,1,0,6
Jon Ossoff,US Senator,Georgia,Democrat,0,3,2,1,0,0,6
Jon Erpenbach,State Senator,Wisconsin,Democrat,0,2,0,3,0,0,6
John Depetro,TV Show Host,None,Talk show host,0,0,0,0,3,3,6
John Cox,Businessman,California,Republican,0,1,3,0,2,0,6
Joanne Kloppenburg,Judge,Wisconsin,None,0,2,0,2,1,1,6
Jennifer Shilling,Former State Senator,Wisconsin,Democrat,1,2,1,1,1,0,6
Jeanne Ives,Former State Representative,Illinois,Republican,0,1,0,0,4,1,6
Jason Isaac,Former State Representative,Texas,Republican,1,0,1,3,0,1,6
Jan Brewer,Former Governor,Arizona,Republican,0,0,1,3,1,1,6
James Langevin,US Representative,Rhode Island,Democrat,1,1,2,1,1,0,6
Jake Tapper,Journalist,None,Journalist,3,1,0,1,0,0,6
Ilhan Omar,US Representative,Minnesota,Democrat,0,1,1,1,3,0,6
Hank Gilbert,US Representative Candidate,Texas,Democrat,1,0,2,1,1,0,6
Grover Norquist,Political Activist,None,Republican,0,2,0,0,3,1,6
Greg Walden,Former US Representative,Oregon,Republican,1,0,1,4,0,0,6
Government Is Not God Pac,Political Action Committee,None,None,0,0,0,1,2,3,6
George P. Bush,Land Commissioner,Texas,Republican,0,1,1,1,3,0,6
Florida Chamber Of Commerce,Advocacy Group,Florida,None,1,2,1,0,1,1,6
Earl Blumenauer,US Representative,Oregon,Democrat,3,1,1,0,1,0,6
E. Gordon Gee,University President,West Virginia,None,2,1,2,0,1,0,6
Doug Jones,Former US Senator,Alabama,Democrat,0,2,2,1,1,0,6
Doonesbury,Comic Strip,None,None,0,4,2,0,0,0,6
Don Gaetz,Former President of the State Senate,Florida,Republican,1,1,3,1,0,0,6
Debra Medina,State Comptroller of Public Accounts Candidate,Texas,Republican,1,1,3,0,1,0,6
David Scott,US Representative,Georgia,Democrat,0,1,2,0,0,0,6
David Mckinley,US Representative,West Virginia,Republican,3,2,0,1,0,0,6
David Brooks,Political Commentator,None,None,3,0,2,0,0,0,6
Dan Bishop,US Representative,North Carolina,Republican,0,1,1,2,1,1,6
Corey Lewandowski,Pundit,Massachusetts,Republican,0,1,0,1,3,0,6
Cokie Roberts,Journalist,Maryland,Journalist,1,2,2,1,0,0,6
Chris Koster,Former State Attorney General,Missouri,Democrat,1,3,2,0,0,0,6
Charlotte Nash,County Board of Commissioner Candidate,Georgia,Republican,2,2,1,1,0,0,6
Chain Message,Chain Message,None,Republican,0,0,0,0,6,0,6
Carlos Beruff,Real Estate Developer,Florida,Republican,0,0,0,3,1,0,6
Bob Donovan,Member of Milwaukee Common Council,Wisconsin,None,2,2,0,0,0,1,6
Arne Duncan,US Secretary of Education,Illinois,Democrat,0,2,1,1,2,0,6
Al Gore,Former US Vice President,Tennessee,Democrat,1,1,3,1,0,0,6
Worldnetdaily,News Website,None,None,0,0,0,0,2,2,5
Wisconsin Republican Legislative Leaders,Speaker of the Wisconsin Assembly,Wisconsin,Republican,0,1,1,2,0,1,5
William Howell,Former Speaker of the State Delegates,Virginia,Republican,2,0,0,0,0,1,5
William Barr,Former US Attorney General,None,Republican,0,0,0,1,3,1,5
West Virginia Democratic Party,Party Affiliation,West Virginia,Democrat,1,1,2,1,0,0,5
Vincent Fort,Former State Senator,Georgia,Democrat,0,1,2,1,0,1,5
Vern Buchanan,US Representative,Florida,Republican,2,0,1,1,1,0,5
Van Wanggaard,State Senator,Wisconsin,Republican,0,1,1,1,1,0,5
Turning Point Usa,Advocacy Group,None,None,0,0,1,2,2,0,5
Tom Mcclintock,US Representative,California,Republican,0,1,0,2,2,0,5
Tom Ganley,Businessman,Ohio,Republican,1,1,0,1,0,0,5
Tom Delay,Former US Representative,Texas,Republican,0,1,1,1,0,1,5
Texas Democratic Party,Party Affiliation,Texas,Democrat,1,2,0,0,1,0,5
Ted Nugent,Singer,Texas,Republican,0,0,2,1,0,2,5
Susana Mendoza,State Comptroller,Illinois,Democrat,0,1,0,2,2,0,5
Steve King,Former US Representative,Iowa,Republican,0,0,1,1,1,1,5
Stephen Hayes,Journalist,None,None,1,1,1,2,0,0,5
Stephen Colbert,Comedian,None,None,2,2,0,1,0,0,5
Sam Olens,Former State Attorney General,Georgia,Republican,2,1,1,0,1,0,5
Roy Moore,Former Chief Justice of the State Supreme Court,Alabama,Republican,0,0,2,0,1,1,5
Rob Wittman,US Representative,Virginia,Republican,0,1,1,0,3,0,5
Rick Baker,Actor,None,None,1,1,1,1,1,0,5
Richard Ojeda,Former State Senator,West Virginia,Democrat,2,1,1,1,0,0,5
Richard Burr,US Senator,North Carolina,Republican,1,2,2,0,0,0,5
Raphael Warnock,US Senator,Georgia,Democrat,1,0,3,0,1,0,5
Peter King,Former US Representative,New York,Republican,0,2,1,0,1,1,5
Peter Kilmartin,Former State Attorney General,Rhode Island,Democrat,1,1,2,0,0,1,5
Patriot Majority Usa,Advocacy Group,None,Democrat,0,2,0,1,1,1,5
Patrick Kennedy,Former US Representative,Rhode Island,Democrat,0,1,3,0,1,0,5
Nicholas Kristof,Journalist,None,None,2,2,0,0,1,0,5
Nate Mcmurray,US Representative Candidate,New York,Democrat,2,2,0,1,0,0,5
Nan Rich,County Commisioner,Florida,Democrat,0,3,1,1,0,0,5
Monica Wehby,US Senator Candidate,Oregon,Republican,1,0,0,0,3,0,5
Mike Stenhouse,Think Tank CEO,Rhode Island,Newsmaker,1,0,1,1,1,1,5
Mike Dovilla,Former State Representative,Ohio,Republican,1,0,1,0,1,0,5
Megyn Kelly,TV Show Host,None,None,2,0,2,0,1,0,5
Matt Mackowiak,Former Press Secretary to US Senator,Texas,Republican,1,0,0,2,1,0,5
Mary Nolan,State Representative,Oregon,Democrat,2,0,3,0,0,0,5
Mark S. Zaccaria,State Representative Candidate,Rhode Island,Republican,1,0,0,2,2,0,5
Mark Kirk,Former US Senator,Illinois,Republican,0,0,2,2,1,0,5
Mandy Cohen,Secretary of State Department of Health and Human Services,North Carolina,Democrat,1,2,2,0,0,0,5
Maciver Institute,Think Tank,Wisconsin,Organization,1,1,0,1,0,2,5
Lupe Valdez,Former Sherriff,Texas,Democrat,0,3,1,0,1,0,5
Levar Stoney,Mayor,Virginia,Democrat,1,1,1,1,1,0,5
Lee Holloway,Former County Executive,Wisconsin,None,0,1,0,1,2,1,5
Kurt Schrader,US Representative,Oregon,Democrat,1,0,3,0,1,0,5
Kirk Watson,Former Mayor,Texas,Democrat,3,2,0,0,0,0,5
Kevin Cramer,US Senator,North Dakota,Republican,0,0,1,2,2,0,5
Kelly Loeffler,Former US Senator,Georgia,Republican,0,0,0,4,1,0,5
Keith Faber,State Auditor,Ohio,Republican,3,0,1,1,0,0,5
Jorge Ramos,Journalist,Florida,Journalist,0,2,2,1,0,0,5
John Thrasher,University President,Florida,Republican,1,0,0,2,1,1,5
John Robitaille,Governor Candidate,Rhode Island,Republican,2,0,2,0,1,0,5
John Nygren,Former State Assembly,Wisconsin,Republican,1,1,2,1,0,0,5
John Loughlin,Former State Representative,Rhode Island,Republican,1,0,0,1,2,1,5
John Lewis,Former US Representative,Georgia,Democrat,0,1,2,0,1,1,5
Joe Straus,Former Speaker of State Representatives,Texas,Republican,2,1,2,0,0,0,5
Joe Morrissey,State Senator,Virginia,Democrat,0,1,1,1,1,0,5
Joe Lieberman,Former US Senator,Connecticut,Independent,1,2,0,1,1,0,5
Joe Barton,Former US Representative,Texas,Republican,1,0,0,3,1,0,5
Jim Sullivan,Former State Senator,Wisconsin,Democrat,0,0,2,1,2,0,5
Jim Steineke,State Assembly,Wisconsin,Republican,0,0,2,1,2,0,5
Jim Doyle,Former Governor,Wisconsin,Democrat,0,1,1,1,1,0,5
Jeff Stone,Former State Assembly,Wisconsin,Republican,2,1,0,1,0,0,5
Jeff Flake,Former US Senator,Arizona,Republican,3,1,0,0,1,0,5
Jeff Atwater,Former State Chief Financial Officer,Florida,Republican,0,1,1,0,1,0,5
Jeb Hensarling,Former US Representative,Texas,Republican,1,0,1,0,2,1,5
James Clyburn,US Representative,South Carolina,Democrat,0,1,0,1,2,0,5
Jacky Rosen,US Senator,Nevada,Democrat,1,0,2,1,0,0,5
J.D. Hayworth,Former US Representative,Arizona,Republican,0,1,1,0,1,2,5
J.D. Alexander,Former State Senator,Florida,Republican,1,1,1,0,1,1,5
Infowars,Conspiracy Website,None,Republican,0,0,1,0,1,3,5
Hugh Hewitt,Radio Show Host,None,Republican,0,0,1,2,2,0,5
House Majority Pac,Political Action Committee,None,Democrat,0,2,2,1,0,0,5
Heidi Heitkamp,Former US Senator,North Dakota,Democrat,0,1,2,1,1,0,5
Greg Steube,US Representative,Florida,Republican,0,1,0,2,2,0,5
Gordon Hintz,State Assembly,Wisconsin,Democrat,1,2,0,1,1,0,5
Future Pac (Oregon House Democrats),Political Action Committee,Oregon,Democrat,0,0,0,3,0,1,5
Frederica Wilson,US Representative,Florida,Democrat,1,2,1,1,0,0,5
Frank Guinta,Former US Representative,New Hampshire,Republican,0,1,1,1,1,0,5
Everytown For Gun Safety,Advocacy Group,None,None,0,0,2,3,0,0,5
Evan Jenkins,Supreme Court of Appelas of State Chief Justice,West Virginia,Republican,1,1,1,1,1,0,5
Erick Erickson,Blogger,Georgia,Republican,1,0,0,2,2,0,5
Elizabeth Roberts,Former Lieutenant Governor,Rhode Island,Democrat,2,0,2,1,0,0,5
Edward Markey,US Senator,Massachusetts,Democrat,2,1,1,1,0,0,5
Edward Lindsey,Former State Representative,Georgia,Republican,3,2,0,0,0,0,5
Edward Cox,Former Party Affiliation Chairman,New York,Republican,2,2,1,0,0,0,5
Democratic Governors Association,527 Organization,None,Democrat,1,0,1,1,0,2,5
Conservative Solutions Pac,Political Action Committee,None,Organization,0,0,1,3,0,0,5
Citizens For Lower Taxes And A Stronger Economy,Pollitical Action Committee,Florida,None,1,0,2,1,0,1,5
Chuck Grassley,US Senator,Iowa,Republican,2,0,2,0,1,0,5
Chris Sununu,Governor,New Hampshire,Republican,0,0,2,1,1,1,5
Charlie Hales,Former Mayor,Oregon,None,3,0,0,1,1,0,5
Charles Krauthammer,Columnist,None,None,1,0,1,1,0,0,5
Charles Bass,Former US Representative,New Hampshire,Republican,0,0,0,3,2,0,5
Catherine Hanaway,Governor Candidate,Missouri,Republican,3,0,0,0,1,0,5
Brian Robinson,Communications Director for Governor,Georgia,Republican,1,2,0,1,1,0,5
Brian Kilmeade,TV Show Host,None,None,0,0,0,0,3,1,5
Brett Hulsey,Former State Assembly,Wisconsin,Democrat,1,0,0,1,3,0,5
Boyd Richie,Political Action Committee Chairman,Texas,Democrat,1,0,0,2,1,1,5
Bob Marshall,State Delegate,Virginia,Republican,0,0,0,0,2,1,5
Austan Goolsbee,Chair of the�Council of Economic Advisors,Illinois,Democrat,0,3,0,0,1,0,5
Arnold Schwarzenegger,Actor,California,Republican,1,2,0,0,1,0,5
Arianna Huffington,Author,None,None,0,3,2,0,0,0,5
Anthony Weiner,Former Congressman,New York,Democrat,0,0,2,2,1,0,5
Anthony Gemma,US Representative Candidate,Rhode Island,Democrat,0,2,0,0,2,1,5
Andy Gronik,Businessman,Wisconsin,Democrat,0,0,3,2,0,0,5
Andrea Mitchell,Journalist,None,None,0,2,1,0,1,0,5
Alex Jones,Radio Show Host,Texas,Talk show host,0,0,0,0,2,3,5
Alcee Hastings,Former US Representative,Florida,Democrat,0,0,2,1,0,2,5
Al Sharpton,Founder of the National Action Network Civil Rights Organization,New York,Democrat,0,1,1,2,1,0,5
Afl-Cio,Federation of Union,Florida,None,1,0,3,1,0,0,5
Adam Kinzinger,US Representative,Illinois,Republican,0,0,1,1,2,0,5
Xavier Becerra,US Secretary of Health and Human Services,California,Democrat,1,2,1,0,0,0,4
Worldnewsdailyreport.Com,Fake News Website,None,None,0,0,0,0,0,4,4
Whoopi Goldberg,Actor,New York ,Talk show host,1,0,1,1,0,1,4
Vladimir Putin,Russia President,None,None,0,0,1,0,1,2,4
Various Media Reports 2,Media Reports,None,None,2,0,0,0,2,0,4
Uspoln Website,Fake News Website,None,None,0,0,0,0,0,4,4
Ultraviolet,Women Advocacy Group,"Washington, D.C.",None,0,1,1,2,0,0,4
Trent Franks,Former US Representative,Arizona,Republican,0,0,0,2,1,0,4
Toni Preckwinkle,President of County Board of Commissioner,Illinois,Democrat,0,0,1,1,1,1,4
Tom Tiffany,US Representative,Wisconsin,Republican,0,1,0,2,0,1,4
Tom Perriello,Former US Representative,Virginia,Democrat,0,0,1,0,2,0,4
Tom Nelson,County Executive,Wisconsin,Democrat,0,1,1,0,1,0,4
Todd Starnes,Columnist,None,Republican,0,0,0,1,2,1,4
The Patriot Report,Fake News Website,None,None,0,0,0,0,0,4,4
Texas Right To Life,Advocacy Group,Texas,None,0,0,2,0,2,0,4
Tennessee Republican Party,Party Affiliation,Tennessee,Republican,0,0,1,1,2,0,4
Ted Poe,Former US Representative,Texas,Republican,1,0,1,1,1,0,4
Sylvester Turner,Mayor,Texas,Democrat,0,2,0,0,2,0,4
Steven Schale,Political Strategist,Florida,Democrat,1,0,0,1,0,0,4
Steve Scalise,US Representative,Louisiana,Republican,0,0,2,1,0,1,4
Steve Cohen,US Representative,Tennessee,Democrat,2,0,1,0,0,1,4
Stacey Evans,State Representative,Georgia,Democrat,1,2,1,0,0,0,4
Sierra Club,Environmental Organization,None,None,0,1,0,2,1,0,4
Seth Moulton,US Representative,Massachusetts,Democrat,1,0,2,1,0,0,4
Seiu,Labor Union,None,Newsmaker,0,0,2,1,1,0,4
Scott Wagner,Former State Senator,Pennsylvania,Republican,0,0,1,1,2,0,4
Samuel Wurzelbacher,Political Commentator,Ohio,Republican,0,1,0,0,1,1,4
Sam Brownback,US Ambassador,Kansas,Republican,2,0,0,1,1,0,4
Ron Kind,US Representative,Wisconsin ,Democrat,2,0,2,0,0,0,4
Robert Reich,Former US Secretary of Labor,California,Democrat,1,1,0,0,1,0,4
Ro Khanna,US Representative,California,Democrat,0,0,1,1,2,0,4
Restoration Pac,Political Action Committee,None,Organization,0,0,0,3,0,1,4
Republican Party Of Georgia,Party Affiliation,Georgia,Republican,0,0,1,2,1,0,4
Rebecca Dallet,State Supreme Court of Justice,Wisconsin,None,1,1,2,0,0,0,4
Raymond Lahood,Former US Secretary of Transportation,Illinois,Republican,0,1,1,0,1,0,4
Raul Labrador,Former US Representative,Idaho,Republican,0,0,1,1,1,1,4
Randy Bryce,US Representative Candidate,Wisconsin,Democrat,0,2,1,1,0,0,4
Ralph Northam,Governor,Virginia,Democrat,2,0,1,0,1,0,4
Ralph Nader,Activist,Connecticut,Independent,1,1,0,1,1,0,4
Promote Oregon Leadership Pac (Oregon House Republicans),Political Action Committee,Oregon,Republican,1,0,1,1,1,0,4
Progressive Change Campaign Committee,Political Action Committee,None,None,0,1,1,0,1,1,4
Portland Public Schools,Public School,Oregon,None,2,1,1,0,0,0,4
Peter Roskam,Former US Representative,Illinois,Republican,0,2,0,0,0,2,4
Paul Manafort,Political Consultant,None,Republican,0,0,1,0,2,1,4
Paul Begala,Former Counselor to the US President,Texas,Democrat,0,0,0,1,2,0,4
Patrick Mchenry,US Representative,North Carolina,Republican,0,2,0,0,2,0,4
Pamela Geller,Activist,New York,Activist,0,0,1,0,1,2,4
Our Oregon,Nonprofit Organization,Oregon,Democrat,0,3,0,0,1,0,4
Orrin Hatch,Former US Senator,Utah,Republican,1,0,1,2,0,0,4
No Tax For Tracks,Advocacy Group,None,Organization,0,0,2,0,2,0,4
Nina Turner,Former State Senator,Ohio,Democrat,3,0,0,1,0,0,4
Nicole Galloway,State Auditor,Missouri,Democrat,0,3,1,0,0,0,4
Nick Freitas,State Delegate,Virginia,Republican,1,1,2,0,0,0,4
Mitch Daniels,Former Governor,Indiana,Republican,0,0,0,0,3,1,4
Mike Romano,State Senator,West Virginia,Democrat,3,0,0,1,0,0,4
Mike Mccabe,Political Activist,Wisconsin,Democrat,0,2,1,0,1,0,4
Mike Gravel,Former US Senator,Alaska,Libertarian,1,0,1,1,0,1,4
Mike Collier,Lieutenant Governor Candidate,Texas,Democrat,1,0,1,0,2,0,4
Michelle Malkin,Blogger,Colorado,None,1,0,1,1,1,0,4
Michael Riley,US Representative Candidate,Rhode Island,Republican,0,0,1,2,1,0,4
Michael Chippendale,State Representative,Rhode Island,Republican,1,1,0,1,1,0,4
